<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.07.16	13:00:00	182.23	182.40	180.27	181.60	3119	0	0
2021.07.16	13:30:00	181.67	182.21	180.27	180.59	2783	0	7
2021.07.16	14:00:00	180.61	180.62	179.61	179.68	2973	0	7
2021.07.16	14:30:00	179.68	180.26	179.61	179.90	1876	0	7
2021.07.16	15:00:00	179.88	180.09	179.03	179.03	2238	0	7
2021.07.16	15:30:00	179.01	179.22	178.56	178.84	1755	0	7
2021.07.16	16:00:00	178.83	179.58	178.79	179.20	1534	0	7
2021.07.16	16:30:00	179.21	179.37	178.78	179.19	1026	0	7
2021.07.16	17:00:00	179.19	179.64	179.09	179.52	997	0	7
2021.07.16	17:30:00	179.52	179.56	179.09	179.16	1444	0	7
2021.07.16	18:00:00	179.15	179.16	178.78	178.86	606	0	7
2021.07.16	19:00:00	178.90	179.52	178.66	178.68	2727	0	0
2021.07.19	10:00:00	177.91	178.13	177.82	178.02	250	0	0
2021.07.19	10:30:00	178.02	178.13	177.95	178.06	58	0	16
2021.07.19	11:00:00	178.11	178.16	177.33	177.45	367	0	16
2021.07.19	11:30:00	177.43	177.49	176.95	177.13	363	0	16
2021.07.19	12:00:00	177.08	177.16	176.57	176.92	238	0	16
2021.07.19	12:30:00	176.96	177.08	176.55	176.81	291	0	16
2021.07.19	13:00:00	176.80	176.93	176.48	176.50	226	0	16
2021.07.19	13:30:00	176.53	177.38	175.53	176.06	2978	0	16
2021.07.19	14:00:00	176.06	176.50	175.26	176.43	2297	0	7
2021.07.19	14:30:00	176.41	176.76	175.22	176.73	1743	0	7
2021.07.19	15:00:00	176.75	177.18	176.50	176.61	1916	0	7
2021.07.19	15:30:00	176.61	177.22	176.06	176.13	1769	0	7
2021.07.19	16:00:00	176.11	176.12	175.39	175.68	1547	0	7
2021.07.19	16:30:00	175.67	175.72	175.14	175.65	1407	0	7
2021.07.19	17:00:00	175.63	176.06	175.39	175.46	1412	0	7
2021.07.19	17:30:00	175.46	176.18	175.23	175.51	1603	0	7
2021.07.19	18:00:00	175.50	176.24	175.48	176.07	1526	0	7
2021.07.19	18:30:00	176.08	176.27	175.40	176.00	1477	0	7
2021.07.19	19:00:00	176.01	176.55	175.60	175.61	1656	0	7
2021.07.19	19:30:00	175.63	176.44	175.51	176.15	980	0	7
2021.07.20	10:00:00	178.22	178.88	178.11	178.48	248	0	32
2021.07.20	10:30:00	178.43	178.47	178.16	178.17	34	0	32
2021.07.20	11:00:00	178.19	178.23	177.94	178.01	129	0	32
2021.07.20	11:30:00	178.04	178.27	177.99	178.10	73	0	32
2021.07.20	12:00:00	178.12	178.23	178.07	178.11	62	0	32
2021.07.20	12:30:00	178.11	178.11	177.71	177.87	164	0	32
2021.07.20	13:00:00	177.87	178.82	177.67	178.30	413	0	16
2021.07.20	13:30:00	178.28	178.30	176.12	176.90	3238	0	7
2021.07.20	14:00:00	176.88	176.93	175.86	176.50	2371	0	7
2021.07.20	14:30:00	176.50	178.01	176.34	177.82	1900	0	7
2021.07.20	15:00:00	177.83	178.22	177.50	177.92	1362	0	7
2021.07.20	15:30:00	177.90	178.89	177.88	178.80	1427	0	7
2021.07.20	16:00:00	178.78	179.14	178.34	178.58	1243	0	7
2021.07.20	16:30:00	178.59	178.75	178.40	178.68	818	0	7
2021.07.20	17:00:00	178.68	178.73	177.88	178.08	1083	0	7
2021.07.20	17:30:00	178.08	178.49	178.02	178.47	764	0	7
2021.07.20	18:00:00	178.47	179.12	178.42	179.10	876	0	7
2021.07.20	18:30:00	179.09	179.43	178.78	179.37	1114	0	7
2021.07.20	19:00:00	179.38	179.56	179.09	179.21	1121	0	7
2021.07.20	19:30:00	179.20	179.32	178.94	179.11	549	0	7
2021.07.21	10:00:00	178.92	178.92	178.83	178.87	121	0	0
2021.07.21	10:30:00	178.87	178.87	178.83	178.86	7	0	7
2021.07.21	11:00:00	178.81	178.84	178.35	178.37	103	0	7
2021.07.21	11:30:00	178.37	178.49	178.09	178.27	282	0	16
2021.07.21	12:00:00	178.13	178.58	178.11	178.51	65	0	16
2021.07.21	12:30:00	178.47	178.50	178.34	178.47	78	0	16
2021.07.21	13:00:00	178.47	178.87	178.40	178.70	136	0	16
2021.07.21	13:30:00	178.72	179.17	178.00	178.33	2098	0	7
2021.07.21	14:00:00	178.33	178.79	177.53	178.51	1666	0	7
2021.07.21	14:30:00	178.50	179.08	178.13	178.32	1777	0	7
2021.07.21	15:00:00	178.32	178.60	177.90	177.99	1347	0	7
2021.07.21	15:30:00	177.98	178.19	177.78	178.15	1011	0	7
2021.07.21	16:00:00	178.15	178.15	177.74	177.80	710	0	7
2021.07.21	16:30:00	177.81	177.87	177.22	177.40	988	0	7
2021.07.21	17:00:00	177.40	178.03	177.17	177.92	936	0	7
2021.07.21	17:30:00	177.92	178.27	177.85	178.06	756	0	7
2021.07.21	18:00:00	178.06	178.30	177.90	178.01	662	0	7
2021.07.21	18:30:00	178.03	178.38	177.99	178.12	698	0	7
2021.07.21	19:00:00	178.13	178.66	178.04	178.38	893	0	7
2021.07.21	19:30:00	178.39	178.57	178.17	178.36	582	0	7
2021.07.22	10:00:00	179.62	179.67	179.32	179.53	197	0	0
2021.07.22	10:30:00	179.58	179.61	179.32	179.49	107	0	32
2021.07.22	11:00:00	179.47	179.47	179.28	179.36	95	0	32
2021.07.22	11:30:00	179.35	179.38	179.26	179.30	37	0	32
2021.07.22	12:00:00	179.23	179.38	179.02	179.02	230	0	0
2021.07.22	12:30:00	179.06	179.38	179.04	179.38	76	0	32
2021.07.22	13:00:00	179.29	179.44	179.20	179.21	74	0	16
2021.07.22	13:30:00	179.26	180.98	179.10	180.76	2215	0	7
2021.07.22	14:00:00	180.81	181.28	180.61	181.10	1926	0	7
2021.07.22	14:30:00	181.10	181.57	180.97	181.02	1426	0	7
2021.07.22	15:00:00	181.02	181.34	180.61	180.76	1375	0	7
2021.07.22	15:30:00	180.77	181.28	180.70	180.99	1148	0	7
2021.07.22	16:00:00	181.02	181.07	180.37	180.74	1124	0	7
2021.07.22	16:30:00	180.74	181.04	180.64	180.88	945	0	7
2021.07.22	17:00:00	180.88	181.46	180.84	181.31	961	0	7
2021.07.22	17:30:00	181.31	181.61	181.16	181.53	797	0	7
2021.07.22	18:00:00	181.53	181.66	181.38	181.56	868	0	7
2021.07.22	18:30:00	181.57	181.60	181.12	181.48	977	0	7
2021.07.22	19:00:00	181.47	181.81	181.24	181.77	809	0	7
2021.07.22	19:30:00	181.77	181.87	181.61	181.68	550	0	7
2021.07.23	10:00:00	182.61	182.70	182.38	182.58	98	0	0
2021.07.23	10:30:00	182.56	182.58	182.38	182.38	34	0	32
2021.07.23	11:00:00	182.45	182.64	182.44	182.53	80	0	16
2021.07.23	11:30:00	182.53	182.53	182.32	182.43	55	0	16
2021.07.23	12:00:00	182.45	182.51	182.40	182.47	54	0	16
2021.07.23	12:30:00	182.45	182.45	182.16	182.24	83	0	16
2021.07.23	13:00:00	182.27	182.27	181.94	181.95	143	0	16
2021.07.23	13:30:00	181.97	182.42	181.04	181.98	2418	0	7
2021.07.23	14:00:00	181.97	182.79	181.97	182.62	1869	0	7
2021.07.23	14:30:00	182.62	182.83	182.31	182.49	1490	0	7
2021.07.23	15:00:00	182.50	182.58	182.16	182.24	1362	0	7
2021.07.23	15:30:00	182.25	182.49	182.24	182.34	965	0	7
2021.07.23	16:00:00	182.35	182.46	182.20	182.33	894	0	7
2021.07.23	16:30:00	182.32	183.00	182.32	182.71	1008	0	7
2021.07.23	17:00:00	182.72	183.14	182.45	182.96	1172	0	7
2021.07.23	17:30:00	182.97	183.10	182.74	183.02	820	0	7
2021.07.23	18:00:00	183.03	183.27	182.91	183.06	925	0	7
2021.07.23	18:30:00	183.08	183.17	182.69	182.88	815	0	7
2021.07.23	19:00:00	182.88	183.11	182.80	183.07	954	0	7
2021.07.23	19:30:00	183.07	183.09	182.73	182.74	602	0	7
2021.07.26	10:00:00	183.16	183.31	183.09	183.15	449	0	0
2021.07.26	10:30:00	183.22	183.23	183.09	183.14	115	0	16
2021.07.26	11:00:00	183.17	183.83	183.03	183.78	264	0	16
2021.07.26	11:30:00	183.83	183.91	183.56	183.63	120	0	16
2021.07.26	12:00:00	183.60	183.74	183.50	183.50	96	0	16
2021.07.26	12:30:00	183.48	183.48	183.31	183.40	109	0	16
2021.07.26	13:00:00	183.41	183.66	183.26	183.61	139	0	16
2021.07.26	13:30:00	183.59	184.47	182.31	184.43	2363	0	7
2021.07.26	14:00:00	184.44	185.54	184.43	184.73	2265	0	7
2021.07.26	14:30:00	184.71	185.19	184.18	184.50	1764	0	7
2021.07.26	15:00:00	184.48	185.09	184.36	184.89	1245	0	7
2021.07.26	15:30:00	184.89	185.16	184.76	185.04	861	0	7
2021.07.26	16:00:00	185.04	185.11	184.60	184.77	766	0	7
2021.07.26	16:30:00	184.77	185.00	184.42	184.92	762	0	7
2021.07.26	17:00:00	184.92	185.27	184.86	185.20	687	0	7
2021.07.26	17:30:00	185.21	185.39	184.83	184.85	723	0	7
2021.07.26	18:00:00	184.85	185.29	184.55	184.70	984	0	7
2021.07.26	18:30:00	184.70	184.81	184.18	184.74	1028	0	7
2021.07.26	19:00:00	184.74	184.92	184.24	184.32	896	0	7
2021.07.26	19:30:00	184.33	184.74	184.33	184.70	450	0	7
2021.07.27	10:00:00	184.59	184.81	184.54	184.66	193	0	0
2021.07.27	10:30:00	184.73	184.81	184.70	184.79	55	0	7
2021.07.27	11:00:00	184.78	184.81	184.56	184.77	293	0	7
2021.07.27	11:30:00	184.76	185.12	184.76	184.98	116	0	16
2021.07.27	12:00:00	184.98	185.08	184.66	184.90	209	0	0
2021.07.27	12:30:00	184.92	185.08	184.85	184.85	87	0	16
2021.07.27	13:00:00	184.84	184.87	184.74	184.85	131	0	16
2021.07.27	13:30:00	184.85	184.85	183.20	183.26	2402	0	7
2021.07.27	14:00:00	183.24	183.38	181.24	182.17	3042	0	7
2021.07.27	14:30:00	182.17	182.17	180.89	181.24	2612	0	7
2021.07.27	15:00:00	181.23	181.58	180.20	180.57	2487	0	7
2021.07.27	15:30:00	180.55	180.59	179.66	180.18	2473	0	7
2021.07.27	16:00:00	180.16	180.28	179.43	180.18	1942	0	7
2021.07.27	16:30:00	180.18	180.54	179.69	179.75	1738	0	7
2021.07.27	17:00:00	179.75	180.01	179.28	179.43	1831	0	7
2021.07.27	17:30:00	179.43	180.13	179.29	179.77	1318	0	7
2021.07.27	18:00:00	179.77	180.77	179.77	180.42	1239	0	7
2021.07.27	18:30:00	180.41	181.08	180.36	180.90	1313	0	7
2021.07.27	19:00:00	180.88	181.19	180.44	180.71	1219	0	7
2021.07.27	19:30:00	180.70	181.09	180.60	180.99	679	0	7
2021.07.28	10:00:00	181.63	181.95	181.49	181.49	166	0	16
2021.07.28	10:30:00	181.50	181.52	181.12	181.28	102	0	32
2021.07.28	11:00:00	181.30	181.99	181.08	181.92	265	0	16
2021.07.28	11:30:00	181.81	182.29	181.76	181.82	245	0	16
2021.07.28	12:00:00	181.82	182.29	181.78	182.04	194	0	16
2021.07.28	12:30:00	182.06	182.24	181.89	181.97	117	0	16
2021.07.28	13:00:00	181.96	182.17	181.63	181.74	191	0	16
2021.07.28	13:30:00	181.72	182.47	180.03	181.44	2160	0	7
2021.07.28	14:00:00	181.46	182.83	181.42	182.41	2324	0	7
2021.07.28	14:30:00	182.42	182.71	181.61	181.96	1522	0	7
2021.07.28	15:00:00	181.97	182.36	181.29	181.36	1392	0	7
2021.07.28	15:30:00	181.35	181.74	180.91	181.17	1301	0	7
2021.07.28	16:00:00	181.17	181.81	181.14	181.64	988	0	7
2021.07.28	16:30:00	181.66	181.73	181.04	181.18	1027	0	7
2021.07.28	17:00:00	181.18	181.37	180.40	180.59	1470	0	7
2021.07.28	17:30:00	180.58	180.93	180.43	180.71	1394	0	7
2021.07.28	18:00:00	180.72	181.39	180.14	181.12	1772	0	7
2021.07.28	18:30:00	181.14	181.73	180.76	181.21	1654	0	7
2021.07.28	19:00:00	181.22	181.66	180.99	181.51	1237	0	7
2021.07.28	19:30:00	181.52	181.64	181.42	181.63	599	0	7
2021.07.29	10:00:00	181.59	181.65	181.00	181.57	197	0	0
2021.07.29	10:30:00	181.50	181.55	181.00	181.14	165	0	7
2021.07.29	11:00:00	181.16	181.60	181.16	181.36	105	0	16
2021.07.29	11:30:00	181.37	181.72	181.37	181.64	78	0	16
2021.07.29	12:00:00	181.61	181.86	181.59	181.85	75	0	16
2021.07.29	12:30:00	181.80	181.99	181.55	181.70	143	0	16
2021.07.29	13:00:00	181.72	181.78	181.21	181.38	144	0	16
2021.07.29	13:30:00	181.35	181.80	180.88	180.96	1832	0	7
2021.07.29	14:00:00	180.98	181.24	180.35	181.11	1983	0	7
2021.07.29	14:30:00	181.11	181.43	180.71	180.87	1429	0	7
2021.07.29	15:00:00	180.88	181.08	180.48	180.57	1328	0	7
2021.07.29	15:30:00	180.58	180.72	180.32	180.35	1031	0	7
2021.07.29	16:00:00	180.35	180.65	180.35	180.64	892	0	7
2021.07.29	16:30:00	180.65	180.65	180.23	180.25	1200	0	7
2021.07.29	17:00:00	180.26	180.43	179.96	180.33	1069	0	7
2021.07.29	17:30:00	180.34	180.54	179.95	180.03	950	0	7
2021.07.29	18:00:00	180.04	180.14	179.65	179.71	1147	0	7
2021.07.29	18:30:00	179.72	179.84	179.36	179.49	1204	0	7
2021.07.29	19:00:00	179.49	179.65	178.98	179.30	1516	0	7
2021.07.29	19:30:00	179.31	179.68	179.20	179.68	736	0	7
2021.07.30	10:00:00	168.73	168.79	168.19	168.35	529	0	0
2021.07.30	10:30:00	168.36	168.57	168.25	168.36	147	0	48
2021.07.30	11:00:00	168.34	168.34	167.44	168.07	300	0	48
2021.07.30	11:30:00	168.10	168.19	167.45	167.67	255	0	48
2021.07.30	12:00:00	167.65	167.70	167.27	167.44	421	0	32
2021.07.30	12:30:00	167.44	167.65	167.21	167.53	397	0	16
2021.07.30	13:00:00	167.52	167.57	166.81	167.27	1004	0	16
2021.07.30	13:30:00	167.27	167.82	165.34	167.55	8324	0	7
2021.07.30	14:00:00	167.57	168.37	166.98	167.33	4780	0	7
2021.07.30	14:30:00	167.35	167.57	166.27	167.29	3369	0	7
2021.07.30	15:00:00	167.28	167.74	166.86	167.21	2691	0	7
2021.07.30	15:30:00	167.22	167.45	166.78	167.43	2190	0	7
2021.07.30	16:00:00	167.41	168.20	167.18	167.71	2045	0	7
2021.07.30	16:30:00	167.71	167.93	167.46	167.78	1566	0	7
2021.07.30	17:00:00	167.78	168.22	167.39	167.50	1641	0	7
2021.07.30	17:30:00	167.50	167.85	167.29	167.64	1409	0	7
2021.07.30	18:00:00	167.64	167.78	166.79	166.88	1545	0	7
2021.07.30	18:30:00	166.87	167.28	166.62	166.96	1421	0	7
2021.07.30	19:00:00	166.97	167.17	166.47	166.54	1502	0	7
2021.07.30	19:30:00	166.54	166.72	166.47	166.48	686	0	7
2021.08.02	10:00:00	167.40	167.52	167.16	167.49	316	0	0
2021.08.02	10:30:00	167.47	167.49	167.16	167.30	142	0	32
2021.08.02	11:00:00	167.26	167.36	167.00	167.07	192	0	16
2021.08.02	11:30:00	167.09	167.24	166.99	167.19	187	0	16
2021.08.02	12:00:00	167.20	167.27	166.95	167.02	475	0	16
2021.08.02	12:30:00	167.02	167.41	167.02	167.40	390	0	7
2021.08.02	13:00:00	167.40	167.81	167.37	167.54	513	0	7
2021.08.02	13:30:00	167.43	167.87	166.18	166.59	4311	0	7
2021.08.02	14:00:00	166.56	167.15	166.18	166.66	3192	0	7
2021.08.02	14:30:00	166.66	166.80	166.25	166.36	1894	0	7
2021.08.02	15:00:00	166.37	167.03	166.33	166.66	1556	0	7
2021.08.02	15:30:00	166.68	166.71	166.08	166.17	1339	0	7
2021.08.02	16:00:00	166.17	166.30	165.83	166.17	1476	0	7
2021.08.02	16:30:00	166.19	166.68	166.11	166.49	1391	0	7
2021.08.02	17:00:00	166.49	166.81	166.41	166.61	1137	0	7
2021.08.02	17:30:00	166.60	166.99	166.44	166.46	1074	0	7
2021.08.02	18:00:00	166.46	166.76	166.33	166.69	1000	0	7
2021.08.02	18:30:00	166.69	166.80	166.53	166.68	907	0	7
2021.08.02	19:00:00	166.69	166.94	166.55	166.85	1202	0	7
2021.08.02	19:30:00	166.85	166.86	166.26	166.28	605	0	7
2021.08.03	10:00:00	166.99	167.04	166.91	166.97	98	0	0
2021.08.03	10:30:00	166.97	167.02	166.91	166.95	44	0	16
2021.08.03	11:00:00	166.94	166.94	166.65	166.69	73	0	16
2021.08.03	11:30:00	166.70	166.88	166.68	166.88	68	0	16
2021.08.03	12:00:00	166.88	166.88	166.72	166.75	67	0	16
2021.08.03	12:30:00	166.76	166.82	166.73	166.80	81	0	16
2021.08.03	13:00:00	166.81	167.13	166.71	166.98	171	0	16
2021.08.03	13:30:00	167.01	167.14	166.10	166.13	2166	0	7
2021.08.03	14:00:00	166.11	166.24	165.13	165.44	1985	0	7
2021.08.03	14:30:00	165.44	165.56	165.01	165.22	1849	0	7
2021.08.03	15:00:00	165.23	165.62	164.93	165.60	1912	0	7
2021.08.03	15:30:00	165.58	167.43	165.57	167.40	1904	0	7
2021.08.03	16:00:00	167.40	167.63	167.05	167.37	1516	0	7
2021.08.03	16:30:00	167.39	168.76	167.39	168.73	1781	0	7
2021.08.03	17:00:00	168.73	169.50	168.60	169.01	1733	0	7
2021.08.03	17:30:00	169.00	169.15	168.53	168.60	1554	0	7
2021.08.03	18:00:00	168.61	169.05	168.18	168.90	1450	0	7
2021.08.03	18:30:00	168.90	168.90	168.03	168.21	1154	0	7
2021.08.03	19:00:00	168.21	168.26	167.75	168.06	1039	0	7
2021.08.03	19:30:00	168.06	168.42	167.99	168.16	618	0	7
2021.08.04	10:00:00	168.65	168.82	168.60	168.64	124	0	0
2021.08.04	10:30:00	168.64	168.82	168.60	168.67	84	0	16
2021.08.04	11:00:00	168.71	168.71	168.35	168.39	106	0	16
2021.08.04	11:30:00	168.42	168.44	168.30	168.36	63	0	16
2021.08.04	12:00:00	168.36	168.59	168.25	168.28	151	0	16
2021.08.04	12:30:00	168.28	168.49	168.26	168.37	141	0	16
2021.08.04	13:00:00	168.39	168.94	168.25	168.87	215	0	16
2021.08.04	13:30:00	168.86	169.32	167.92	168.07	2267	0	7
2021.08.04	14:00:00	168.11	168.16	167.43	167.86	2027	0	7
2021.08.04	14:30:00	167.85	168.21	167.59	167.65	1390	0	7
2021.08.04	15:00:00	167.67	167.91	167.25	167.50	1164	0	7
2021.08.04	15:30:00	167.51	168.07	167.36	168.06	985	0	7
2021.08.04	16:00:00	168.07	168.13	167.78	167.79	817	0	7
2021.08.04	16:30:00	167.79	167.92	167.61	167.89	719	0	7
2021.08.04	17:00:00	167.90	168.43	167.89	168.15	747	0	7
2021.08.04	17:30:00	168.15	168.24	167.83	168.06	801	0	7
2021.08.04	18:00:00	168.06	168.23	168.00	168.16	714	0	7
2021.08.04	18:30:00	168.16	168.34	167.73	167.78	847	0	7
2021.08.04	19:00:00	167.81	167.92	167.66	167.85	821	0	7
2021.08.04	19:30:00	167.85	167.94	167.76	167.89	441	0	7
2021.08.05	10:00:00	168.08	168.16	167.88	168.02	209	0	0
2021.08.05	10:30:00	168.01	168.03	167.88	167.94	39	0	7
2021.08.05	11:00:00	167.95	168.00	167.82	167.87	55	0	7
2021.08.05	11:30:00	167.87	167.99	167.85	167.99	40	0	16
2021.08.05	12:00:00	167.95	167.95	167.86	167.90	43	0	16
2021.08.05	12:30:00	167.90	167.90	167.77	167.79	65	0	16
2021.08.05	13:00:00	167.82	168.28	167.01	167.78	2536	0	0
2021.08.05	13:30:00	167.81	168.28	167.01	167.99	2254	0	7
2021.08.05	14:00:00	168.00	169.10	167.87	168.91	1963	0	7
2021.08.05	14:30:00	168.92	169.41	168.71	168.78	1776	0	7
2021.08.05	15:00:00	168.79	169.22	168.65	168.70	960	0	7
2021.08.05	15:30:00	168.71	168.94	168.66	168.88	794	0	7
2021.08.05	16:00:00	168.88	168.93	168.58	168.67	808	0	7
2021.08.05	16:30:00	168.67	169.11	168.64	169.01	755	0	7
2021.08.05	17:00:00	169.01	169.06	168.73	169.05	643	0	7
2021.08.05	17:30:00	169.04	169.22	168.94	169.06	673	0	7
2021.08.05	18:00:00	169.06	169.08	168.72	168.74	619	0	7
2021.08.05	18:30:00	168.74	168.83	168.50	168.64	878	0	7
2021.08.05	19:00:00	168.63	168.81	168.59	168.73	692	0	7
2021.08.05	19:30:00	168.72	168.76	168.52	168.64	387	0	7
2021.08.06	10:00:00	168.70	168.79	168.63	168.69	65	0	0
2021.08.06	10:30:00	168.71	168.79	168.63	168.75	57	0	7
2021.08.06	11:00:00	168.73	168.75	168.69	168.70	36	0	16
2021.08.06	11:30:00	168.70	168.91	168.69	168.88	37	0	7
2021.08.06	12:00:00	168.86	168.89	168.80	168.83	61	0	16
2021.08.06	12:30:00	168.82	168.87	168.02	168.22	344	0	16
2021.08.06	13:00:00	168.24	168.67	168.03	168.62	176	0	16
2021.08.06	13:30:00	168.58	168.65	167.76	167.86	1867	0	7
2021.08.06	14:00:00	167.86	167.92	167.29	167.43	1687	0	7
2021.08.06	14:30:00	167.43	167.74	166.86	167.00	1441	0	7
2021.08.06	15:00:00	167.01	167.01	166.44	166.89	1622	0	7
2021.08.06	15:30:00	166.90	166.98	166.54	166.95	1153	0	7
2021.08.06	16:00:00	166.96	166.97	166.66	166.92	778	0	7
2021.08.06	16:30:00	166.92	167.09	166.72	166.86	718	0	7
2021.08.06	17:00:00	166.87	167.08	166.68	166.73	696	0	7
2021.08.06	17:30:00	166.73	166.81	166.62	166.67	613	0	7
2021.08.06	18:00:00	166.67	166.84	166.64	166.70	784	0	7
2021.08.06	18:30:00	166.70	166.93	166.67	166.79	690	0	7
2021.08.06	19:00:00	166.79	167.07	166.76	167.04	720	0	7
2021.08.06	19:30:00	167.04	167.09	166.94	167.00	401	0	7
2021.08.09	10:00:00	167.29	167.50	167.29	167.40	255	0	0
2021.08.09	10:30:00	167.35	167.42	167.30	167.42	59	0	16
2021.08.09	11:00:00	167.40	167.45	167.30	167.40	30	0	16
2021.08.09	11:30:00	167.43	167.49	167.35	167.46	52	0	16
2021.08.09	12:00:00	167.47	167.49	167.10	167.15	90	0	16
2021.08.09	12:30:00	167.12	167.28	167.11	167.27	90	0	16
2021.08.09	13:00:00	167.23	167.34	166.96	167.05	108	0	16
2021.08.09	13:30:00	167.02	167.54	166.40	166.71	1773	0	7
2021.08.09	14:00:00	166.72	167.27	166.41	167.19	1523	0	7
2021.08.09	14:30:00	167.19	167.68	166.95	167.07	1309	0	7
2021.08.09	15:00:00	167.06	167.28	166.79	167.11	1180	0	7
2021.08.09	15:30:00	167.10	167.15	166.77	167.07	859	0	7
2021.08.09	16:00:00	167.08	167.12	166.69	166.73	841	0	7
2021.08.09	16:30:00	166.73	167.04	166.65	166.95	747	0	7
2021.08.09	17:00:00	166.96	166.96	166.76	166.78	532	0	7
2021.08.09	17:30:00	166.77	167.13	166.77	167.04	570	0	7
2021.08.09	18:00:00	167.04	167.28	166.85	167.28	719	0	7
2021.08.09	18:30:00	167.29	167.35	166.84	166.93	595	0	7
2021.08.09	19:00:00	166.93	166.95	166.74	166.83	533	0	7
2021.08.09	19:30:00	166.83	167.12	166.79	167.12	365	0	7
2021.08.10	10:00:00	167.11	167.13	167.06	167.11	30	0	0
2021.08.10	10:30:00	167.06	167.13	167.06	167.13	14	0	7
2021.08.10	11:00:00	167.14	167.26	167.11	167.18	74	0	7
2021.08.10	11:30:00	167.21	167.23	167.17	167.22	24	0	7
2021.08.10	12:00:00	167.20	167.35	167.20	167.31	44	0	7
2021.08.10	12:30:00	167.33	167.34	167.23	167.23	48	0	7
2021.08.10	13:00:00	167.23	167.85	166.93	167.24	2102	0	0
2021.08.10	13:30:00	167.26	167.85	166.93	167.59	1858	0	7
2021.08.10	14:00:00	167.61	167.84	166.69	166.70	1357	0	7
2021.08.10	14:30:00	166.71	166.71	165.91	166.32	1892	0	7
2021.08.10	15:00:00	166.32	166.40	165.72	166.00	1564	0	7
2021.08.10	15:30:00	165.99	166.35	165.84	166.10	1015	0	7
2021.08.10	16:00:00	166.12	166.54	166.11	166.12	827	0	7
2021.08.10	16:30:00	166.11	166.27	165.95	165.98	693	0	7
2021.08.10	17:00:00	165.98	166.26	165.94	166.06	807	0	7
2021.08.10	17:30:00	166.07	166.13	165.82	166.07	800	0	7
2021.08.10	18:00:00	166.07	166.08	165.77	165.86	736	0	7
2021.08.10	18:30:00	165.85	166.02	165.82	166.01	574	0	7
2021.08.10	19:00:00	166.02	166.14	165.84	166.11	659	0	7
2021.08.10	19:30:00	166.12	166.17	165.90	165.97	365	0	7
2021.08.11	10:00:00	165.60	165.70	165.53	165.60	102	0	0
2021.08.11	10:30:00	165.62	165.70	165.59	165.70	60	0	16
2021.08.11	11:00:00	165.69	165.86	165.69	165.84	39	0	16
2021.08.11	11:30:00	165.86	165.87	165.76	165.80	31	0	16
2021.08.11	12:00:00	165.83	165.83	165.75	165.76	37	0	16
2021.08.11	12:30:00	165.79	166.39	165.79	166.35	219	0	16
2021.08.11	13:00:00	166.35	166.60	166.34	166.49	173	0	16
2021.08.11	13:30:00	166.47	166.83	165.58	165.61	2265	0	7
2021.08.11	14:00:00	165.60	165.97	165.35	165.38	1511	0	7
2021.08.11	14:30:00	165.37	165.42	165.03	165.09	1163	0	7
2021.08.11	15:00:00	165.09	165.16	164.28	164.78	1757	0	7
2021.08.11	15:30:00	164.77	164.85	164.35	164.36	1190	0	7
2021.08.11	16:00:00	164.35	164.92	164.34	164.67	1018	0	7
2021.08.11	16:30:00	164.67	164.80	164.38	164.54	765	0	7
2021.08.11	17:00:00	164.54	164.79	164.35	164.47	827	0	7
2021.08.11	17:30:00	164.47	164.48	163.85	163.98	1017	0	7
2021.08.11	18:00:00	163.98	164.19	163.89	163.99	807	0	7
2021.08.11	18:30:00	163.98	164.17	163.94	164.01	750	0	7
2021.08.11	19:00:00	164.01	164.30	163.92	164.25	693	0	7
2021.08.11	19:30:00	164.24	164.26	164.13	164.19	366	0	7
2021.08.12	10:00:00	164.82	165.14	164.75	164.85	130	0	0
2021.08.12	10:30:00	164.87	165.14	164.85	165.00	82	0	16
2021.08.12	11:00:00	164.94	164.97	164.69	164.85	203	0	16
2021.08.12	11:30:00	164.88	164.97	164.87	164.91	106	0	16
2021.08.12	12:00:00	164.91	164.93	164.38	164.84	229	0	0
2021.08.12	12:30:00	164.83	164.83	164.38	164.38	131	0	16
2021.08.12	13:00:00	164.37	164.64	164.37	164.49	109	0	16
2021.08.12	13:30:00	164.43	164.58	163.50	163.89	2102	0	7
2021.08.12	14:00:00	163.88	164.65	163.44	164.49	1843	0	7
2021.08.12	14:30:00	164.50	165.06	164.37	165.06	1314	0	7
2021.08.12	15:00:00	165.06	165.41	164.83	164.86	1181	0	7
2021.08.12	15:30:00	164.87	165.39	164.86	165.23	815	0	7
2021.08.12	16:00:00	165.24	165.27	164.91	164.92	693	0	7
2021.08.12	16:30:00	164.93	165.00	164.63	164.68	712	0	7
2021.08.12	17:00:00	164.68	164.78	164.41	164.56	841	0	7
2021.08.12	17:30:00	164.57	164.97	164.56	164.68	651	0	7
2021.08.12	18:00:00	164.68	165.01	164.63	164.91	634	0	7
2021.08.12	18:30:00	164.91	165.12	164.87	164.88	622	0	7
2021.08.12	19:00:00	164.89	165.58	164.89	165.58	581	0	7
2021.08.12	19:30:00	165.58	165.62	165.34	165.56	495	0	7
2021.08.13	10:00:00	165.16	165.16	165.05	165.16	13	0	0
